WellID,Subarea,Operator,County,Completion.Date,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Deepest_Zone,Between_Zone,Frac.Stages,Treatment.Records,Fluid.Water..Gals.,Acid..Gals.,Gel.x.link..Gals.,Other..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,EUR_o..Mstb.,Number,Type,Depth.Top,Depth.Base,Fluid.Amount,Fluid.Units,Fluid.Type,Propping.Agent.Amount,Propping.Agent.Units,Propping.Agent.Type,Pressure.Breakdown,Injection.Rate,Additive,Mesh.Size,Remark,CLFK..KHW.,U_SPBR..KHW.,L_SPBR..KHW.,WFMP..KHW.,WFMP_L..KHW.,WFMP_ATB..KH,CLINE..KHW.,STRN..KHW.,ATOK..KHW.,BEND..KHW.,ATOKA_L..KHW,MPLM..KHW.,WDFD..KHW.,DVNN..KHW.,CLEARFORK..MAP.,SPRABERRY_U..MAP.,SPRABERRY_L..MAP.,WOLFCAMP..MA,WOLFCAMP_L..,WFMP_ATB..MA,CLINE..MAP.,STRAWN..MAP.,ATOKA..MAP.,BEND..MAP.,ATOKA_L..MAP,MISSISSIPPIA,WOODFORD..MA,DEVINOAN_UNC
1897,E,APACHE CORPORATION,REAGAN,39026.0,2006.0,31.54104,-101.65438,8359.0,40,40,WFMP,CLFK --> WFMP,2.0,2.0,353400.0,0.0,0.0,0.0,123000.0,353400.0,27.748,2.0,FRAC,7942.0,8152.0,128000.0,GAL,W,61500.0,LB,SAND,,,,20/40,DETAILS: SLICK WTR B SD,,,,,,,,,,,,,,,5594.42,6530.99,7097.84,8115.69,8367.06,8688.49,9834.91,10232.32,10299.0,10404.4,10525.54,10664.16,10795.65,10836.92
1862,E,APACHE CORPORATION,REAGAN,38933.0,2006.0,31.52635,-101.65416,8345.0,40,20,WFMP,CLFK --> WFMP,2.0,2.0,365750.0,0.0,0.0,0.0,123000.0,365750.0,28.096,2.0,FRAC,7939.0,8150.0,123850.0,GAL,W,61500.0,LB,SAND,,,,20/40,DETAILS: SLK WTR BRADY SD,,,,,,,,,,,,,,,5587.74,6529.57,7096.04,8112.58,8346.99,8676.11,9827.52,10225.61,10290.53,10398.18,10518.28,10649.28,10780.91,10824.49
237,D,ENERGEN RESOURCES CORPORATION,GLASSCOCK,40765.0,2011.0,31.74802,-101.59546,10801.0,80,Over 160,ATOKA,SPBR_L --> ATOKA,7.0,14.0,226500.0,32500.0,377000.0,0.0,733000.0,636000.0,29.132,14.0,FRAC,10078.0,10325.0,110000.0,GAL,FLUD,75000.0,LB,SAND,,,BIOC,20/40,DETAILS: 30000GAL SLK WTR 80000 GAL YF115ST XL BORATE GEL ECONOPROP,,,,,,,,,,,,,,,5696.16,6386.89,6938.92,8002.74,8272.97,8840.97,9697.95,9995.88,10124.69,10242.7,10324.35,10427.94,10562.47,10604.77
1803,E,APACHE CORPORATION,REAGAN,38742.0,2006.0,31.52284,-101.64225,8295.0,20,20,WFMP,SPBR_U --> WFMP,2.0,2.0,383200.0,0.0,0.0,0.0,100450.0,383200.0,27.228,2.0,FRAC,7905.0,8111.0,131800.0,GAL,W,49250.0,LB,SAND,,,SFAC,20/40,DETAILS: SLICK WTR; BRADY SD,,,,,,,,,,,,,,,5541.15,6500.61,7063.5,8083.32,8301.14,8634.69,9795.14,10183.1,10254.56,10382.07,10469.89,10590.28,10727.11,10768.41
1762,E,APACHE CORPORATION,REAGAN,38627.0,2005.0,31.4541,-101.65391,8180.0,40,40,WFMP,SPBR_U --> WFMP,2.0,2.0,383200.0,0.0,0.0,0.0,100450.0,383200.0,26.688,2.0,FRAC,7729.0,7946.0,131800.0,GAL,W,49250.0,LB,SAND,,,SFAC,20/40,DETAILS: SLK WTR MESH B SD,,,,,,,,,,,,,,,5389.58,6347.47,6908.8,7911.53,8255.0,8572.63,9811.65,10145.4,10255.08,,10463.02,10640.29,10783.32,10816.31
1932,E,APACHE CORPORATION,REAGAN,39169.0,2007.0,31.46422,-101.63298,8073.0,80,20,WFMP,SPBR_U --> WFMP,2.0,2.0,365484.0,0.0,0.0,0.0,123000.0,365484.0,24.036,2.0,FRAC,7708.0,7890.0,123732.0,GAL,W,61500.0,LB,SAND,,,,20/40,DETAILS: SLK WTR BRADY SD,,,,,,,,,,,,,,,5326.22,6299.3,6861.23,7864.25,8190.23,8542.34,9756.64,10088.3,10193.56,,10397.17,10533.91,10679.88,10715.86
2201,F,LAREDO PETROLEUM - DALLAS INCORPORATED,REAGAN,40557.0,2011.0,31.57869,-101.47193,8764.0,80,40,WFMP,SPBR_U --> WFMP,7.0,7.0,,,,,,,30.764,7.0,FRAC,8384.0,8591.0,,,A,0.0,,,,,HCL,,W/PROP,,,,,,,,,,,,,,,4840.25,5964.64,6521.34,7601.58,7752.63,8290.26,9362.24,9757.82,9846.0,,9889.14,10155.36,10257.19,10290.38
819,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,38573.0,2005.0,31.813,-102.0309,10540.0,80,80,WFMP,SPBR_L --> WFMP,4.0,8.0,0.0,10000.0,283385.0,0.0,190699.0,293385.0,41.208,8.0,FRAC,10289.0,10437.0,73684.0,GAL,GEL,30409.0,LB,SAND,,,GELA,,,6792.0,7685.0,8237.0,9234.0,9543.0,9908.0,10326.0,,,,,,,,6787.19,7470.84,8026.2,9018.9,9332.48,9906.67,10324.43,10445.99,10593.37,10706.89,10956.03,11467.97,11679.9,11970.43
2180,F,LAREDO PETROLEUM - DALLAS INCORPORATED,REAGAN,40424.0,2010.0,31.63583,-101.42431,8586.0,80,20,WFMP,SPBR_U --> WFMP,8.0,8.0,,,,,,,33.034,8.0,FRAC,8188.0,8388.0,,,A,0.0,,,,,HCL,,W/PROP,,,,,,,,,,,,,,,4367.01,5885.48,6446.41,7530.3,7799.8,8147.41,9193.93,9575.17,9680.47,,9850.7,9930.31,10024.05,10069.01
2197,F,LAREDO PETROLEUM - DALLAS INCORPORATED,REAGAN,40520.0,2010.0,31.58913,-101.42489,8532.0,80,20,WFMP,SPBR_U --> WFMP,8.0,8.0,,,,,,,32.952,8.0,FRAC,8123.0,8326.0,,,A,0.0,,,,,HCL,,W/ PROP,,,,,,,,,,,,,,,4168.06,5839.45,6389.22,7489.14,7807.74,8137.49,9198.98,9579.79,9676.89,,9775.25,9919.72,10031.38,10068.7
